ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xu yongsheng	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Robo1 on Retinal Pigment Epithelial Cells and Experimental Proliferative Vitreoretinopathy
xu yu	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
xu yu	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	ACTA OPHTHALMOLOGICA	Early vitreoretinal surgery on vascularly active stage 4 retinopathy of prematurity through the preoperative intravitreal bevacizumab injection
xu yu	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
xu yu	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ocular Pharmacokinetics of Bevacizumab in Vitrectomized Eyes with Silicone Oil Tamponade
xu yuanyuan	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
xu zhe	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Whole Eye Axial Biometry During Accommodation Using Ultra-long Scan Depth Optical Coherence Tomography
xue anquan	China:Wenzhou Med Coll, Eye Hosp, Wenzhou 325003,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGICA	Clinical characteristics of acute zonal occult outer retinopathy in Chinese patients
xue chunyan	China:Nanjing Univ, Jinling Hosp, Sch Med, Dept Ophthalmol, Jiangsu,Peoples R China. Nanjing University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Thelazia callipaeda in human vitreous
xue kang	China:Fudan Univ, Shanghai Med Coll, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Treatment of Experimental Autoimmune Uveoretinitis with Intravitreal Injection of Tacrolimus (FK506) Encapsulated in Liposomes
xue ming	China:Capital Med Univ, Dept Pharmacol, Sch Basic Med Sci, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
xun yanbin	China:Heilongjiang Inst Drug Control, Harbin, Heilongjiang Pr,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
yam yam	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
yan hong	China:Fourth Mil Med Univ, Dept Ophthalmol, Tangdu Hosp, Xian 710038,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	A rabbit model to study biochemical damage to the lens after vitrectomy: Effects of N-acetylcysteine
yan hong	China:Fourth Mil Med Univ, Dept Ophthalmol, Tangdu Hosp, Xian 710038,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Oxidative Responses Induced by Pharmacologic Vitreolysis and/or Long-term Hyperoxia Treatment in Rat Lenses
yan hua	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
yan ying	China:Wuhan Gen Hosp Guangzhou Mil, Dept Ophthalmol, Wuhan,Peoples R China. 	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
yang anhuai	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yang anhuai	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
yang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
yang haojiang	China:Shenzhen Second Peoples Hosp, Dept Ophthalmol, Shenzhen 518035, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Mechanism of angiostatin induced reduction of vascular leakage in retina and iris of rats with retinopathy of prematurity
yang hong	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Tongji Hosp, Dept Ophthalmol, Wuhan 430030,Peoples R China. Huazhong University of Science & Technology	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Feasibility study of chitosan as intravitreous tamponade material
yang hongbin	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Effect of Borneol on the Distribution of Danshensu to the Eye in Rabbit via Oral Administration
yang hongxia	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Chongqing,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Angiotensin-Converting Enzyme 2 (ACE2) Activator Diminazene Aceturate Ameliorates Endotoxin-Induced Uveitis in Mice
yang hua	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
yang hua	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
yang lina	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
yang min	China:Xian Aier Ancient City Eye Hosp, Xian, Shaanxi,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	TREATMENT OF RETINAL DETACHMENT SECONDARY TO MACULAR HOLE IN HIGHLY MYOPIC EYES Pars Plana Vitrectomy with Internal Limiting Membrane Peel and Silicone Oil Tamponade
yang peizeng	China:Chongqing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol,Chongqing Eye Inst, Chongqing 400016,Peoples R China. Chongqing Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OCULAR MANIFESTATIONS OF SYPHILITIC UVEITIS IN CHINESE PATIENTS
yang qingfang	China:NW Polytech Univ, Xian 710072, Shanxi,Peoples R China. Northwestern Polytechnic University - China	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
yang shanshan	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
yang shanshan	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy combined with silicone oil tamponade in the treatment of severely traumatized eyes with the visual acuity of no light perception
yang xingguang	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
yang yanning	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yang yao	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Residual lens cortex material: Potential risk factor for endophthalmitis after phacoemulsification cataract surgery
yang yitao	China:Heze Municipal Hosp, Dept Ophthalmol, Heze City, Shangdong Provi,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Two-hook technique for nucleus extraction in manual sutureless extracapsular cataract extraction
yang zhenglin	China:Sichuan Acad Med Sci, Ctr Human Mol Biol & Genet, Chengdu, Sichuan,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
yang zhikuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	The effectiveness of progressive addition lenses on the progression of myopia in Chinese children
yang zhikuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	A longitudinal study on the relationship between myopia development and near accommodation lag in myopic children
yao jiaqi	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
yao ke	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Coll Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Correlation of the recurrent FBN1 mutation (c.364C > T) with a unique phenotype in a Chinese patient with Marfan syndrome
yao ke	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Coll Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	25-gauge vitrectomy and triamcinolone acetonide-assisted internal limiting membrane peeling for chronic cystoid macular edema associated with branch retinal vein occlusion
yao ke	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Coll Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	BRITISH JOURNAL OF OPHTHALMOLOGY	The incidence of postoperative endophthalmitis after cataract surgery in China: a multicenter investigation of 2006-2011
yao lin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
yao xiaoli	China:Xi An Jiao Tong Univ, First Hosp Affiliated Med Coll, Xian 710049,Peoples R China. Xian Jiaotong University	MOLECULAR VISION	Changes to tear cytokines of type 2 diabetic patients with or without retinopathy
yao yi	China:Chinese PLA, Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Oral sodium fluorescein to improve visualization of clear vitreous during vitrectomy for proliferative diabetic retinopathy
yao yonggang	China:Chinese Acad Sci & Yunnan Prov, Kunming Inst Zool, Key Lab Anim Models & Human Dis Mech, Kunming, Yunnan,Peoples R China. Chinese Academy of SciencesKunming Institute of Zoology	MOLECULAR VISION	Mutation p.G83R in the transthyretin gene is associated with hereditary vitreous amyloidosis in Han Chinese families
yao yuting	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
ye jian	China:Third Mil Med Univ, Dept Ophthalmol, Da Ping Hosp, Chongqing,Peoples R China. Third Military Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	The incidence of postoperative endophthalmitis after cataract surgery in China: a multicenter investigation of 2006-2011
ye panpan	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Co-existent choroidal neovascular membrane and macular hole in pathologic myopia: a long follow-up clinical outcome and literature review
ye ronghua	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
ye siwei	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inhibition of Pathologic Retinal Neovascularization by a Small Peptide Derived from Human Apolipoprotein(a)
ye wen	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intravitreal Injection of Exendin-4 Analogue Protects Retinal Cells in Early Diabetic Rats
ye youfan	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Ophthalmol, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Pharmacokinetics and retinal toxicity of various doses of intravitreal triamcinolone acetonide in rabbits
yi changxian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
yin xiaolei	China:Chinese PLA, Dept Ophthalmol, Hosp 305, Beijing 100017,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical features of ankylosing spondylitis associated with acute anterior uveitis in Chinese patients
ying liang	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Ultrasound biomicroscopy imaging of sclerotomy in children with cataract undergoing 25-gauge sutureless pars plana anterior vitrectomy
you caiyun	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Ultrasound biomicroscopy imaging of sclerotomy in children with cataract undergoing 25-gauge sutureless pars plana anterior vitrectomy
you q	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	EYE	Prevalence and associations of epiretinal membranes in adult Chinese: the Beijing eye study
you q	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
you q	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
you q	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Myopic Maculopathy Imaged by Optical Coherence Tomography The Beijing Eye Study
you yongsheng	China:Affiliated Eye Hosp, Wenzhou Med Coll, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY AND INTERNAL LIMITING MEMBRANE PEELING WITH PERFLUOROPROPANE TAMPONADE OR BALANCED SALINE SOLUTION FOR MYOPIC FOVEOSCHISIS
you yongsheng	China:Affiliated Eye Hosp, Wenzhou Med Coll, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ocular Pharmacokinetics of Bevacizumab in Vitrectomized Eyes with Silicone Oil Tamponade
you yongsheng	China:Hosp Eye, Wenzhou, Zhejiang,Peoples R China. 	OPHTHALMOLOGY	Intraocular and Systemic Pharmacokinetics of Triamcinolone Acetonide after a Single 40-mg Posterior Subtenon Application
yu hai	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang, Liaoning,Peoples R China. China Medical University	MOLECULAR VISION	Administration of pigment epithelium-derived factor delivered by adeno-associated virus inhibits blood-retinal barrier breakdown in diabetic rats
yu honghua	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
yu jing	China:Tongji Univ, Dept Ophthalmol, Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of IGFBP-6 in a proliferative vitreoretinopathy rat model and its effects on retinal pigment epithelial cell proliferation and migration
