abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
yeh mingyang	China:Shandong Univ, Sch Med, Dept Pharmacol, Jinan 250100, Shandong,Peoples R China. Shandong University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	The Effects and Underlying Mechanisms of S-Allyl L-Cysteine Treatment of the Retina After Ischemia/Reperfusion
yi changxian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
yi changxian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anticipation, anti-glaucoma drug treatment response and phenotype of a Chinese family with glaucoma caused by the Pro370Leu myocilin mutation
yi peng	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Early Efficacy and Complications of Releasable Sutures for Trabeculectomy in Primary Angle-closure Glaucoma: A Randomized Clinical Trial
yick yick	China:Caritas Med Ctr, Dept Ophthalmol, Kowloon W Cluster, Hong Kong,Peoples R China. 	EYE	Retrospective case series on the long-term visual and intraocular pressure outcomes of phacomorphic glaucoma
yick yick	China:Caritas Med Ctr, Dept Ophthalmol, Kowloon W Cluster, Hong Kong,Peoples R China. 	INDIAN JOURNAL OF OPHTHALMOLOGY	Retrospective analysis of the risk factors for developing phacomorphic glaucoma
yick doris	China:Caritas Med Ctr, Dept Ophthalmol, Kowloon, Hong Kong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prospective case series on trabecular-iris angle status after an acute episode of phacomorphic angle closure
yick yick	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification Versus Combined Phacotrabeculectomy Medically Controlled Chronic Angle Closure Glaucoma with Cataract
yin jinfu	China:Zhejiang Univ, Affiliated Hosp 2, Sch Med, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	JOURNAL OF GLAUCOMA	Microcoaxial Phacoemulsification Combined With Viscogoniosynechialysis for Patients With Refractory Acute Angle-closure Glaucoma
yin yin	China:Tung Wah Eastern Hosp, Lo Ka Chow Ophthalm Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Mean Target Intraocular Pressure and Progression Rates in Chronic Angle-Closure Glaucoma
yin qiuxia	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Distribution and Heritability of Intraocular Pressure in Chinese Children: The Guangzhou Twin Eye Study
yin qiuxia	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of optic disc and cup measured by the Heidelberg retinal tomography in Chinese: The Guangzhou twin eye study
yin qiuxia	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC EPIDEMIOLOGY	Associations between Narrow Angle and Adult Anthropometry: The Liwan Eye Study
yin qiuxia	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of anterior chamber depth as an intermediate phenotype of angle-closure in Chinese: The Guangzhou twin eye study
yin xiaolei	China:Chinese PLA, Dept Ophthalmol, Hosp 305, Beijing 100017,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical features of ankylosing spondylitis associated with acute anterior uveitis in Chinese patients
yin xiaolei	China:Third Mil Med Univ, Dept Ophthalmol, Daping Hosp, Chongqing 400042,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A case of circumscribed choroidal hemangioma in Sturge-Weber syndrome in China
yin xuntao	China:Third Mil Med Univ, Southwest Hosp, Dept Radiol, Chongqing,Peoples R China. Third Military Medical University	PLOS ONE	Reduced Cortical Thickness in Primary Open-Angle Glaucoma and Its Relationship to the Retinal Nerve Fiber Layer Thickness
yin yan	China:Sichuan Univ, W China Hosp, Translat Neurosci Ctr, Ophthalm Labs, Chengdu,Peoples R China. Sichuan University	MOLECULAR VISION	A novel MYOC heterzygous mutation identified in a Chinese Uygur pedigree with primary open-angle glaucoma
yin yan	China:Sichuan Univ, W China Hosp, Translat Neurosci Ctr, Ophthalm Labs, Chengdu,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Single nucleotide polymorphism of MYOC affected the severity of primary open angle glaucoma
yin yan	China:Sichuan Univ, W China Hosp, Translat Neurosci Ctr, Ophthalm Labs, Chengdu,Peoples R China. Sichuan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
yin zhengqin	China:Third Mil Med Univ, SW Eye Hosp SW Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	OPHTHALMIC GENETICS	Genetic Heritability of a Shallow Anterior Chamber in Chinese Families with Primary Angle Closure Glaucoma
yin zhengqin	China:Third Mil Med Univ, SW Eye Hosp SW Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Phenotypic features of Chinese family members with primary angle closure
yin zhengqin	China:Third Mil Med Univ, SW Eye Hosp SW Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Surgical management of congenital pupillary-iris-lens membrane
ying liang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Corneal endothelial cell density and morphology in Chinese patients with pseudoexfoliation syndrome
ying liang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071, Shandong,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Long-term outcome of black diaphragm intraocular lens implantation in traumatic aniridia
yiu yiu	China:Hong Kong Polytech Univ, Dept Appl Math, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	EYE	Effects of scan circle displacement in optical coherence tomography retinal nerve fibre layer thickness measurement: a RNFL modelling study
yiu cedric	China:Hong Kong Polytech Univ, Dept Appl Math, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Computer Simulation of Progressive Retinal Nerve Fiber Layer Loss in Glaucoma: Performance of Event and Trend Analyses
yong tao	China:Univ Heidelberg, Med Fac Mannheim, Dept Ophthalmol, Heidelberg, Germany. Ruprecht Karl University Heidelberg	OPHTHALMOLOGICA	Intravitreal Triamcinolone
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMIC RESEARCH	Associations between Gender, Ocular Parameters and Diseases: The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Body Height, Estimated Cerebrospinal Fluid Pressure and Open-Angle Glaucoma. The Beijing Eye Study 2011
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Ocular Hypertension: General Characteristics and Estimated Cerebrospinal Fluid Pressure. The Beijing Eye Study 2011
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Prevalence and Progression of Myopic Retinopathy in Chinese Adults: The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Dyslipidemia and Eye Diseases in the Adult Chinese Population: The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Central corneal thickness and retinal vein occlusions: the Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Refractive error, ocular and general parameters and ophthalmic diseases. The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Visual Impairment and Blindness in Adult Chinese The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Prevalence of Alcohol Consumption and Risk of Ocular Diseases in a General Population. The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Beijing Eye Public Health Care Project
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Diabetes and Diabetic Retinopathy
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence of optic disc drusen in an adult Chinese population: the Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Major Eye Diseases and Risk Factors Associated with Systemic Hypertension in an Adult Chinese Population The Beijing Eye Study
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Ocular diseases and 10-year mortality: The Beijing Eye Study 2001/2011
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Pseudoexfoliation: Normative Data and Associations The Beijing Eye Study 2011
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	The 10-Year Incidence and Risk Factors of Retinal Vein Occlusion The Beijing Eye Study
you xiuhua	China:Sun Yat Sen Univ, Sch Pharmaceut Sci, Res & Dev Ctr Pharmaceut, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Anti-proliferation effects of Sirolimus sustained delivery film in rabbit glaucoma filtration surgery
you yian	China:Wenzhou Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Wenzhou 325000, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Surgical management of secondary glaucoma in Fuchs' heterochromic iridocyclitis
you yux	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Ocular hypertension
yu ayong	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Correlation between corneal biomechanical properties, applanation tonometry and direct intracameral tonometry
yu bin	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Long-term outcome of black diaphragm intraocular lens implantation in traumatic aniridia
yu changhong	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Clinical and genetic features of a dominantly-inherited microphthalmia pedigree from China
yu dekuang	China:Harvard Univ, Sch Med, Schepens Eye Res Inst, Dept Ophthalmol, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Microbead-Induced Ocular Hypertensive Mouse Model for Screening and Testing of Aqueous Production Suppressants for Glaucoma
yu fenfen	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Phacoemulsification combined with posterior capsulorhexis and anterior vitrectomy in the management of malignant glaucoma in phakic eyes
yu fenfen	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sodium Hyaluronate Decreases Ocular Surface Toxicity Induced by Benzalkonium Chloride-Preserved Latanoprost: An In Vivo Study
yu guocheng	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparison of trabeculectomy and trabeculectomy with amniotic membrane transplantation in the same patient with bilateral glaucoma
yu honghua	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
yu jianxiong	China:Wuhan Univ, Dept Gastrointestinal Surg, Renmin Hosp, Wuhan 430072,Peoples R China. Wuhan University	MOLECULAR VISION	Human tissue factor pathway inhibitor-2 suppresses the wound-healing activities of human Tenon's capsule fibroblasts in vitro
yu jifeng	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	OPHTHALMOLOGY	Moscow Eye Microsurgery Complex in Russia Keratoprosthesis in Beijing
yu jiguo	China:Cent Hosp Wuhan, Dept Ophthalmol, Wuhan, Hebei,Peoples R China. 	PLOS ONE	Retinal Nerve Fiber Layer Thickness Changes in Parkinson Disease: A Meta-Analysis
yu jiguo	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Effect of glucose on the stress-strain behavior of ex-vivo rabbit cornea
yu jun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Ruijin Hosp, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	CORNEA	The Comparison of the Effects of Latanoprost, Travoprost, and Bimatoprost on Central Corneal Thickness
yu jun	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Chongqing 400042,Peoples R China. Third Military Medical University	MOLECULAR VISION	The timing of goniosynechialysis in treatment of primary angle-closure glaucoma combined with cataract
yu long	China:Fudan Univ, Sch Life Sci, Inst Genet, Key Lab Genet Engn, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	CYP1B1 genotype influences the phenotype in primary congenital glaucoma and surgical treatment
yu long	China:Fudan Univ, Sch Life Sci, Inst Genet, Key Lab Genet Engn, Shanghai 200031,Peoples R China. Fudan University	ARCHIVES OF OPHTHALMOLOGY	CYP1B1 and MYOC mutations in 116 Chinese patients with primary congenital glaucoma
yu longhua	China:Third Mil Med Univ, Southwest Hosp, Dept Radiol, Chongqing,Peoples R China. Third Military Medical University	PLOS ONE	Reduced Cortical Thickness in Primary Open-Angle Glaucoma and Its Relationship to the Retinal Nerve Fiber Layer Thickness
yu man	China:Sichuan Univ, W China Eye Ctr, W China Hosp, Torsten Weisel Res Inst, Chengdu 610041,Peoples R China. Sichuan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	H-1152 effects on intraocular pressure and trabecular meshwork morphology of rat eyes
yu man	China:Sichuan Univ, W China Eye Ctr, W China Hosp, Torsten Weisel Res Inst, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	Evaluation of monkey intraocular pressure by rebound tonometer
yu man	China:Sichuan Univ, W China Eye Ctr, W China Hosp, Torsten Weisel Res Inst, Chengdu 610041,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Structural Brain Abnormalities in Patients with Primary Open-Angle Glaucoma: A Study with 3T MR Imaging
yu marco	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	-SCIENCE AND CLINICAL PRACTICE	Agreement of Corneal Thickness Measurement Using Slitlamp and Ultrasound Pachymetry
