adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
yang ruibo	China:Tianjin Med Univ, Eye Ctr & Coll Optometry, Tianjin 300384,Peoples R China. Tianjin Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	AcrySof phakic angle-supported intraocular lens for the correction of high to extremely high myopia: one-year follow-up results
yang shanshan	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy combined with silicone oil tamponade in the treatment of severely traumatized eyes with the visual acuity of no light perception
yang shenyang	China:China Med Univ, Shengjing Affiliated Hosp, Dept Ophthalmol, Shenyang,Peoples R China. China Medical University	CURRENT EYE RESEARCH	Deleterious Role of Anti-high Mobility Group Box 1 Monoclonal Antibody in Retinal Ischemia-reperfusion Injury
yang shiqiang	China:Tianjin Eye Hosp, Tianjin 300020,Peoples R China. 	VISION RESEARCH	Visual field does not affect steady-state accommodative response and near-work induced transient myopia
yang sixing	China:Shanghai Jiao Tong Univ, Sch Pharm, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Erythropoietin-Dextran Microparticle-Based PLGA/PLA Microspheres on RGCs
yang tao	China:Hebei Med Univ, Affiliated Hosp 1, Internal Dept, Shijiazhuang 050031, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Control of peroxyntrite -induced production of inducible nitric oxide synthase isoforms and antagonism of cholecystokinin octapeptide-8 in retinal pigment epithelial cells in vivo
yang tao	China:Hebei Med Univ, Affiliated Hosp 1, Internal Dept, Shijiazhuang 050031, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Toxicity of endogenous peroxynitrite and effects of puerarin on transplanted retinal pigment epithelial sheets in the subretinal space in mice
yang tao	China:Hebei Med Univ, Affiliated Hosp 1, Internal Dept, Shijiazhuang 050031, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Peroxynitrite-induced expression of inducible nitric oxide synthase and activated apoptosis via nuclear factor-kappa B pathway in retinal pigment epithelial cells and antagonism of cholecystokinin octapeptide-8 in vitro
yang tao	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Endocrinol, Nanjing, Jiangsu,Peoples R China. Nanjing Medical University	PLOS ONE	PAI-1-675 4G/5G Polymorphism in Association with Diabetes and Diabetic Complications Susceptibility: a Meta-Analysis Study
yang wanju	China:Cent Hosp Wuhan, Dept Ophthalmol, Wuhan, Hebei,Peoples R China. 	PLOS ONE	Retinal Nerve Fiber Layer Thickness Changes in Parkinson Disease: A Meta-Analysis
yang wei	China:Jilin Univ, Dept Ophthalmol, Affiliated Hosp 1, Changchun 130021, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of high -concentration insulin on expression of vascular endothelial growth factor in cultured Muller cells in vitro
yang wei	China:Jilin Univ, Dept Ophthalmol, Affiliated Hosp 1, Changchun 130021, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Culture and identification of endothelial progenitor cells from human umbilical cord blood
yang wei	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	In Vitro and In Vivo Release Characteristics of Tacrolimus (FK506) from an Episcleral Drug-Delivery Implant
yang wenzhao	China:Xiamen Univ, Inst Eye, Fujian Prov Key Lab Ophthalmol & Visual Sci, Xiamen 361102, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Therapeutic Effects of Topical Doxycycline in a Benzalkonium Chloride-Induced Mouse Dry Eye Model
yang wenzhe	China:Capital Med Univ, Sch Chem Biol & Pharmaceut Sci, Dept Pharmacol, Beijing 100069,Peoples R China. Capital Medical University	EXPERIMENTAL EYE RESEARCH	Attenuation of streptozotocin-induced diabetic retinopathy with low molecular weight fucoidan via inhibition of vascular endothelial growth factor
yang x	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong 226001,Peoples R China. Nantong University	BRITISH JOURNAL OF OPHTHALMOLOGY	Polymorphisms in CFH, HTRA1 and CX3CR1 confer risk to exudative age-related macular degeneration in Han Chinese
yang xia	China:Qingdao Univ, SEI Joint Ophthalmol Program, Shandong Eye Inst, Shandong Acad Med Sci, Qingdao 266071,Peoples R China. Qingdao University	MOLECULAR VISION	Profiling of genes associated with the murine model of oxygen-induced retinopathy
yang xia	China:Qingdao Univ, SEI Joint Ophthalmol Program, Shandong Eye Inst, Shandong Acad Med Sci, Qingdao 266071,Peoples R China. Qingdao University	MOLECULAR VISION	An association study of SERPING1 gene and age-related macular degeneration in a Han Chinese population
yang xia	China:Sun Yat Sen Univ, Key Lab Funct Mol Marine Microorganisms, Dept Educ Guangdong Prov, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Decreased K5 receptor expression in the retina, a potential pathogenic mechanism for diabetic retinopathy
yang xian	China:Sichuan Acad Med Sci, Ctr Human Mol Biol & Genet, Chengdu, Sichuan,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ASSOCIATION STUDY OF COMPLEMENT FACTOR H, C2, CFB, AND C3 AND AGE-RELATED MACULAR DEGENERATION IN A HAN CHINESE POPULATION
yang xiangmin	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Effect(s) of Preterm Birth on Normal Retinal Vascular Development and Oxygen-Induced Retinopathy in the Neonatal Rat
yang xiao	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of the macula in amblyopic eyes by optical coherence tomography
yang xiaodong	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing,Peoples R China. Capital Medical University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Nearwork-induced transient myopia (NITM) in anisometropia
yang xiaoh	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence of diabetic retinopathy as cause for visual impairment: the Beijing Public Health Care Project
yang xiaoh	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	Eye Care Use Among Rural Adults in China: The Handan Eye Study
yang xiaoh	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	The epidemiology of age-related eye diseases in Mainland China
yang xiaobo	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Ophthalmol, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Protective effect of saturated hydrogen saline against blue light-induced retinal damage in rats
yang xiaobo	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Ophthalmol, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	OPHTHALMOLOGY	Accidental Macular Injury from Prolonged Viewing of a Plasma Flash Produced by a Femtosecond Laser
yang xiaoli	China:N Sichuan Med Coll, Dept Ophthalmol, Affiliated Hosp, Nanchong 637000, Sichuan Prov,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy of rhegmatogenous retinal detachment in morning glory syndrome
yang xiaolu	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Primary Vitrectomy Versus Scleral Buckling for the Treatment of Rhegmatogenous Retinal Detachment: A Meta-Analysis of Randomized Controlled Clinical Trials
yang xiaolu	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inhibition of JAK2/STAT3-Mediated VEGF Upregulation under High Glucose Conditions by PEDF through a Mitochondrial ROS Pathway In Vitro
yang xiaoran	China:So Med Univ, Nanhai Hosp, Dept Ophthalmol, Foshan,Peoples R China. Southern Medical University - China	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Chronic phototoxic maculopathy caused by welding arc in occupational welders
yang xingguang	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
yang xingguang	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY COMBINED WITH PERIOCULAR/INTRAVITREAL INJECTION OF STEROIDS FOR RHEGMATOGENOUS RETINAL DETACHMENT ASSOCIATED WITH CHOROIDAL DETACHMENT
yang xinguang	China:Hosp Xian, Dept Ophthalmol, Xian,Peoples R China. 	MOLECULAR VISION	Effects of anti-VEGF agents on rat retinal Muller glial cells
yang xinguang	China:Xi An Jiao Tong Univ, Sch Med, Xian 710049, Shaanxi,Peoples R China. Xian Jiaotong University	EXPERIMENTAL EYE RESEARCH	Crocin prevents retinal ischaemia/reperfusion injury-induced apoptosis in retinal ganglion cells through the PI3K/AKT signalling pathway
yang xinzhi	China:Hebei Med Univ, Hosp 4, Dept Ophthalmol, Shijiazhuang 050011, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	MMP-2 gene polymorphisms in type 2 diabetes mellitus diabetic retinopathy
yang xiongli	China:Fudan Univ, Inst Brain Sci, Inst Neurobiol, Shanghai 200032,Peoples R China. Fudan University	PROGRESS IN RETINAL AND EYE RESEARCH	Neuromodulatory role of melatonin in retinal information processing
yang xiufen	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Association of CFH, LOC387715, and HTRA1 polymorphisms with exudative age-related macular degeneration in a northern Chinese population
yang xiufen	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Candidate gene association study for diabetic retinopathy in Chinese patients with type 2 diabetes
yang xiufen	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Polymorphisms in the vascular endothelial growth factor gene and the risk of diabetic retinopathy in Chinese patients with type 2 diabetes
yang xiufen	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ASSOCIATION OF GLUTATHIONE S-TRANSFERASE PI ISOFORM SINGLE-NUCLEOTIDE POLYMORPHISMS WITH EXUDATIVE AGE-RELATED MACULAR DEGENERATION IN A CHINESE POPULATION
yang xiumei	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Ophthalmol Chinese PLA, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Role of PI3K/Akt and MEK/ERK in Mediating Hypoxia-Induced Expression of HIF-1 alpha and VEGF in Laser-Induced Rat Choroidal Neovascularization
yang xiumei	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Ophthalmol Chinese PLA, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Focal adhesion kinase signaling pathway participates in the formation of choroidal neovascularization and regulates the proliferation and migration of choroidal microvascular endothelial cells by acting through HIF-1 and VEGF expression in RPE cells
yang xiuxia	China:Sun Yat Sen Univ, Key Lab Ophthal, Minist Edu, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A comparing study of quantitative staining techniques for retinal neovascularization in a mouse model of oxygen-induced retinopathy
yang xuejiao	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Elevated pressure downregulates ZO-1 expression and disrupts cytoskeleton and focal adhesion in human trabecular meshwork cells
yang xueqiu	China:Shangdong Acad Med Sci, Shandong Eye Hosp, Shandong Eye Inst, Jinan 250021, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Peripapillary retinal nerve fiber layer thickness distribution in Chinese with myopia measured by 3D-optical coherence tomography
yang xuesen	China:Third Mil Med Univ, Dept Occupat Hlth, Chongqing 400038,Peoples R China. Third Military Medical University	MOLECULAR VISION	IGF-1 protects retinal ganglion cells from hypoxia-induced apoptosis by activating the Erk-1/2 and Akt pathways
yang yabo	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Relationship of chromatic visual-evoked potentials and the changes of foveal photoreceptor layer in central serous chorioretinopathy patients
yang yabo	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Retinal measurements using time domain OCT imaging before and after myopic Lasik
yang yabo	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPTOMETRY AND VISION SCIENCE	Uveal Melanoma in the Peripheral Choroid Masquerading as Chronic Uveitis
yang yan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sphingosine 1-Phosphate Elicits Proinflammatory Responses in ARPE-19 Cells
yang yan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Activation of Liver X Receptor Alleviates Ocular Inflammation in Experimental Autoimmune Uveitis
yang yan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Decrease in retinal neuronal cells in streptozotocin-induced diabetic mice
yang yanfang	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100083,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Potential of Stratus Optical Coherence Tomography for Detecting Early Glaucoma in Perimetrically Normal Eyes of Open-angle Glaucoma Patients With Unilateral Visual Field Loss
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of erythropoietin on the expression of HIF-1 and iNOS in retina in chronic ocular hypertension rats
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy of intravitreal captopril on oxygen-induced retinopathy in mice
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of aminoguanidine on caspase-3 expression in rat retina after ischemia-reperfusion injury
yang yangfan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pirfenidone inhibits migration, differentiation, and proliferation of human retinal pigment epithelial cells in vitro
yang yanning	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yang yaping	China:Chinese Univ Hong Kong, Fac Med, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Assessing Sodium Iodate-Induced Outer Retinal Changes in Rats Using Confocal Scanning Laser Ophthalmoscopy and Optical Coherence Tomography
yang yaping	China:Chinese Univ Hong Kong, Fac Med, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of NR2E3 but Not NRL Mutations with Retinitis Pigmentosa in the Chinese Population
yang yezhen	China:Cent S Univ, Xiangya Sch Med, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	OPHTHALMIC EPIDEMIOLOGY	Prevalence of Ocular Manifestations of HIV/AIDS in the Highly Active Antiretroviral Therapy (HAART) Era: A Different Spectrum in Central South China
yang ying	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of brain-derived neurotrophic factor on the expression of caspase-2 and caspase-3 and cell apoptosis in retinal ischemia/reperfusion injury
