ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Management of severe ocular burns with symblepharon
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Perioperative treatment and prognostic factors for penetrating keratoplasty in Acanthamoeba keratitis unresponsive to medical treatment
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Potential Role of Macrophages in Experimental Keratomycosis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF AAPOS	Toxic anterior segment syndrome after pediatric cataract surgery
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS	Pars Plana Capsulectomy and Vitrectomy for Posterior Capsular Opacification in Pseudophakic Children
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Expression and potential role of major inflammatory cytokines in experimental keratomycosis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Molecular evidence of senescence in corneal endothelial cells of senescence-accelerated mice
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Hyphal growth patterns and recurrence of fungal keratitis after lamellar keratoplasty
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Modified Deep Lamellar Keratoplasty for the Treatment of Advanced-Stage Keratoconus with Steep Curvature
xie lili	China:Tianjin Med Univ, Tianjin Eye Hosp & Eye Inst, Ophthalmol & Visual Sci Key Lab, Tianjin 300020,Peoples R China. Tianjin Medical University	JOURNAL OF REFRACTIVE SURGERY	Intraocular Straylight After Thin-Flap LASIK With a Femtosecond Laser Versus a Mechanical Microkeratome
xie lixin	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao,Peoples R China. 	CORNEA	Clinical Results and Influential Factors of Modified Large-Diameter Lamellar Keratoplasty in the Treatment of Total Limbal Stem Cell Deficiency
xie lixin	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao,Peoples R China. 	OPHTHALMOLOGY	A Novel Cyclosporine A Drug-Delivery System for Prevention of Human Corneal Rejection after High-risk Keratoplasty: A Clinical Study
xie lixin	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao,Peoples R China. 	OPHTHALMOLOGY	Characteristics of Immune Rejection after Allogeneic Cultivated Limbal Epithelial Transplantation
xie lixin	China:Shandong Eye Inst, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Pediatric traumatic cataract and surgery outcomes in eastern China: a hospital-based study
xie lixin	China:Shandong Eye Inst, Qingdao,Peoples R China. 	OPHTHALMOLOGY	Intracameral Cyclosporine Drug Delivery System in High-risk Keratoplasty Reply
xie peiying	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100871,Peoples R China. Peking University	CORNEA	Mutation Analysis of CHST6 Gene in Chinese Patients With Macular Corneal Dystrophy
xie qing	China:Cent S Univ, Dept Ophthalmol, Affiliated Haikou Hosp, Xiangya Med Sch,Haikou Municipal Hosp, Haikou 570000, Hainan Province,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Advancement of congenital cataract in the responsible gene
xie ruozhong	China:Wenzhou Med Coll, Sch Optometry & Opthalmol, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Correlation Between Myopia and Major Biometric Parameters of the Eye: A Retrospective Clinical Study
xie xiwei	China:Capital Med Sci Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Body height and ocular diseases. The Beijing Eye Study
xie xiaobin	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Body Height, Estimated Cerebrospinal Fluid Pressure and Open-Angle Glaucoma. The Beijing Eye Study 2011
xie xiaobin	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subfoveal Choroidal Thickness and Cerebrospinal Fluid Pressure: The Beijing Eye Study 2011
xie xiaofeng	China:Shandong Univ Tradit Chinese Med, Jinan Shierming Eye Hosp, Ctr Eye, Jinan 250002,Peoples R China. 	OPHTHALMOLOGICA	Early clinical evaluation of AcrySof ReSTOR multifocal intraocular lens for treatment of cataract
xie xin	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	OCULAR IMMUNOLOGY AND INFLAMMATION	Differential Effects of Low- and High-dose Glucocorticoids on the Innate Immunity of Corneal Epithelium in Vitro
xie xiuwen	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	CURRENT EYE RESEARCH	Putative Rabbit Conjunctival Epithelial Stem/Progenitor Cells Preferentially Reside in Palpebral Conjunctiva
xie yanting	China:Zhengzhou Univ, Peoples Hosp, Henan Prov Peoples Hosp, Dept Ophthalmol,Henan Eye Inst,Henan Eye Hosp, Zhengzhou 450003,Peoples R China. Zhengzhou University	EXPERIMENTAL EYE RESEARCH	A novel murine model of Fusarium solani keratitis utilizing fluorescent labeled fungi
xie zhaolian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Inhibition of mouse alkali burn induced-corneal neovascularization by recombinant adenovirus encoding human vasohibin-1
xie zhenling	China:Shantou Univ, Joint Shantou Int Eye Ctr, Dongxia Beilu, Shantou,Peoples R China. Shantou University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Corneal hysteresis and axial length among Chinese secondary school children: The Xichang Pediatric Refractive Error Study (X-PRES) report no. 4
xie zhiyong	China:Sun Yat Sen Univ, Lab Pharmaceut Anal & Qual Assessment, Sch Pharmaceut Sci, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	In Vitro and In Vivo Release Characteristics of Tacrolimus (FK506) from an Episcleral Drug-Delivery Implant
xie zhiyong	China:Sun Yat Sen Univ, Lab Pharmaceut Anal & Qual Assessment, Sch Pharmaceut Sci, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
xin chen	China:Capital Med Univ, Dept Ophthalmol, Beijing Anzhen Hosp, Beijing 100029,Peoples R China. Capital Medical University	INDIAN JOURNAL OF OPHTHALMOLOGY	Corneal arcus and xanthomas in homozygous familial hypercholesterolemia: First report from China
xin meng	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Experimental Efficacy of Mycophenolate Mofetil Implant on High-Risk Corneal Allograft Rejection and Its Biocompatibility in the Anterior Chamber of Rabbits
xin zhaoting	China:Shandong Univ, Qilu Hosp, Dept Ophthalmol, Jinan 250012, Shandong,Peoples R China. Shandong University	EXPERIMENTAL EYE RESEARCH	Aspergillus fumigatus triggers innate immune response via NOD1 signaling in human corneal epithelial cells
xing chengzhong	China:China Med Univ, Affiliated Hosp 1, Dept Oncol, Shenyang,Peoples R China. China Medical University	MOLECULAR VISION	Differentiation of rabbit bone marrow mesenchymal stem cells into corneal epithelial cells in vivo and ex vivo
xing xiaoming	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Pathol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of recombinant human platelet -derived growth factor B on cat corneal endothelial cell viability mediated by adeno-associated virus
xing xiaoming	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Pathol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The study of human PDGF-B gene transferred to cat corneal endothelial cells
xing yiqiao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	BMC OPHTHALMOLOGY	Prevalence of infectious keratitis in Central China
xing yiqiao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	OPHTHALMIC RESEARCH	TNF-alpha Stimulates MMP-2 and MMP-9 Activities in Human Corneal Epithelial Cells via the Activation of FAK/ERK Signaling
xing yiqiao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xiong cuiju	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
xiong lei	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Hosp 2, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	LMWH inhibits anterior chamber inflammation after extra capsular lens extraction through down regulation of bFGF content in aqueous humor
xiong quanchen	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Hosp 2, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	LMWH inhibits anterior chamber inflammation after extra capsular lens extraction through down regulation of bFGF content in aqueous humor
xiong yongzhong	China:Chinese Acad Agr Sci, Harbin Vet Res Inst, Harbin 150001,Peoples R China. Chinese Academy of Agricultural Sciences	EXPERIMENTAL EYE RESEARCH	A C-terminal fragment BIGH3 protein with an RGDRGD motif inhibits corneal neovascularization in vitro and in vivo
xu aiqin	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Corneal Biomechanical Properties and Intraocular Pressure in High Myopic Anisometropia
xu aiqin	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Recovery of Corneal Hysteresis After Reduction of Intraocular Pressure in Chronic Primary Angle-Closure Glaucoma
xu bin	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transplantation of tissue-engineered human corneal epithelium in limbal stem cell deficiency rabbit models
xu bin	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Establishment of an untransfected human corneal epithelial cell line and its biocompatibility with denuded amniotic membrane
xu bin	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	In vitro reconstruction and characterization of tissue -engineered human corneal epithelium with seeder cells from an untransfected human corneal epithelial cell line
xu bin	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	MOLECULAR VISION	Establishment of a continuous untransfected human corneal endothelial cell line and its biocompatibility to denuded amniotic membrane
xu bing	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Shijitan Hosp, Beijing,Peoples R China. Capital Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Efficacy and safety of intracameral triamcinolone acetonide to control postoperative inflammation after phacotrabeculectomy
xu cc	China:Sun Yat Sen Univ, Ocular Surface Ctr, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou,Peoples R China. Sun Yat Sen University	EXPERIMENTAL EYE RESEARCH	MUC19 expression in human ocular surface and lacrimal gland and its alteration in Sjogren syndrome patients
xu cc	China:Sun Yat Sen Univ, Ocular Surface Ctr, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Development of new lymphatic vessels in alkali-burned corneas
xu chenchen	China:Wenzhou Med Coll, Affiliated Eye Hosp, Zhejiang 325000,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Clinical investigation of off-flap epi-LASIK for moderate to high myopia
xu chenchen	China:Wenzhou Med Coll, Affiliated Eye Hosp, Zhejiang 325000,Peoples R China. Wenzhou Medical University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	On the compensation of horizontal coma aberrations in young human eyes
xu chenghui	China:Shanghai Jiao Tong Univ, Xinhua Hosp, Sch Med, Dept Ophthalmol, Shanghai 200092,Peoples R China. Shanghai Jiao Tong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Practical method to calculate post-LASIK corneal power: the Actual Ka+p method
xu chong	China:Tongji Univ, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	OPHTHALMOLOGICA	Visual Changes after Encircling Band Removal
xu chong	China:Tongji Univ, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
xu chong	China:Tongji Univ, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	CURRENT EYE RESEARCH	Putative Rabbit Conjunctival Epithelial Stem/Progenitor Cells Preferentially Reside in Palpebral Conjunctiva
xu dan	China:Dalian Maritime Univ, Environm Sci & Engn Coll, Inst Environm Syst Biol, Dalian,Peoples R China. Dalian Maritime University	CURRENT EYE RESEARCH	Inhibition of Interleukin-1 beta-Induced Matrix Metalloproteinase Expression in Human Corneal Fibroblasts by Tranilast
xu fan	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL NEUROLOGY	Neuroprotective effect of transcorneal electrical stimulation on light-induced photoreceptor degeneration
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combination of vascular endothelial growth factor receptor/platelet-derived growth factor receptor inhibition markedly improves the antiangiogenic efficacy for advanced stage mouse corneal neovascularization
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Endoscopy-assisted vitrectomy for treatment of severe endophthalmitis with retinal detachment
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	OPHTHALMOLOGICA	Retinal Nerve Fiber Layer Analysis with Scanning Laser Polarimetry and RTVue-OCT in Patients of Retinitis Pigmentosa
xu guihua	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Progression in Glaucoma A Comparison between Retinal Nerve Fiber Layer Thickness and Retardance
xu guihua	China:Shantou Univ, Med Coll, STU CUHK Joint Shantou Int Eye Ctr JSIEC, Huizhou City, Guangdong,Peoples R China. Shantou University	JOURNAL OF GLAUCOMA	Influence of Ocular Pulse Amplitude on Ocular Response Analyzer Measurements
xu h	China:Nanjing Med Univ, Peoples Hosp, Dept Ophthalmol, Wuxi,Peoples R China. Nanjing Medical University	EYE	Analysis of Th17-associated cytokines in tears of patients with dry eye syndrome
xu haidong	China:Chinese Acad Sci, Inst Acoust, Shanghai,Peoples R China. Chinese Academy of Sciences	EXPERIMENTAL NEUROLOGY	Neuroprotective effect of transcorneal electrical stimulation on light-induced photoreceptor degeneration
xu haifeng	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Long-term outcome of black diaphragm intraocular lens implantation in traumatic aniridia
xu hailin	China:Fudan Univ, Dept Ophthalmol, Eye & Ear Nose & Throat Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	PLOS ONE	Comparison of Dry Eye and Corneal Sensitivity between Small Incision Lenticule Extraction and Femtosecond LASIK for Myopia
